timestr,time,open,close,low,high,volumefrom,volumeto
2022-01-28 03:00:00,1643338800,33173.52,33517.78,33151.99,33579.36,336.44,11252312.49
2022-01-28 02:00:00,1643335200,33131.31,33173.52,32896.72,33185.8,434.73,14367046.15
2022-01-28 01:00:00,1643331600,33388.52,33131.31,32997.27,33410.38,317.97,10533679.29
2022-01-28 00:00:00,1643328000,33375.05,33388.52,33296.16,33624.39,309.86,10370188.59
2022-01-27 23:00:00,1643324400,32967.84,33375.05,32954.13,33413.63,268.38,8908272.06
2022-01-27 22:00:00,1643320800,32491.91,32967.84,32250.06,33180.55,385.82,12637349.97
2022-01-27 21:00:00,1643317200,31940.34,32491.91,31924.66,32588.29,402.62,12954987.9
2022-01-27 20:00:00,1643313600,32535.66,31940.34,31938.56,32688.86,453.63,14650258.72
2022-01-27 19:00:00,1643310000,32517.1,32535.66,32245.61,32608.92,360.73,11708876.79
2022-01-27 18:00:00,1643306400,32603.79,32517.1,32367.87,32638.21,314.73,10215426.48
2022-01-27 17:00:00,1643302800,32794.6,32603.79,32486.41,32857.16,295.83,9643083.14
2022-01-27 16:00:00,1643299200,32897.95,32794.6,32613.45,32985.62,433.92,14232670.06
2022-01-27 15:00:00,1643295600,33082.89,32897.95,32815.27,33220.81,380.61,12558531
2022-01-27 14:00:00,1643292000,33074.76,33082.89,32944.05,33369.71,490.01,16243287.05
2022-01-27 13:00:00,1643288400,32909.32,33074.76,32846.3,33092.7,311.39,10269558.79
2022-01-27 12:00:00,1643284800,32907.42,32909.32,32743.6,32982.08,250.09,8219558.57
2022-01-27 11:00:00,1643281200,32490.09,32907.42,32486.39,32922.15,427.83,14016825.17
2022-01-27 10:00:00,1643277600,32670.02,32490.09,32470.84,32773.02,295.51,9650940.25
2022-01-27 09:00:00,1643274000,32579.69,32670.02,32496.54,32729.62,372.31,12147029.62
2022-01-27 08:00:00,1643270400,32338.76,32579.69,32037.06,32608.48,454.56,14695821.29
2022-01-27 07:00:00,1643266800,32253.55,32338.76,32115.34,32403.26,332.62,10741192.92
2022-01-27 06:00:00,1643263200,32117.42,32253.55,32011.11,32270.94,202.13,6496422.41
2022-01-27 05:00:00,1643259600,32069.79,32117.42,31979.17,32182.14,492.29,15811583.18
2022-01-27 04:00:00,1643256000,31875.66,32069.79,31852.05,32098.72,476.89,15246654.55
